ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
107.23.85.jfd,2017-02-01,00:00:00,0.0,1013454.0,0001539497-13-000934,-index.htm,200.0,2792.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-02-01,00:00:00,0.0,1407200.0,0001193125-16-541564,-index.htm,200.0,2880.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-02-01,00:00:00,0.0,1013454.0,0001539497-13-000938,-index.htm,200.0,2792.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-02-01,00:00:00,0.0,1013454.0,0001539497-13-000900,-index.htm,200.0,2791.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-02-01,00:00:00,0.0,1407200.0,0001193125-16-535603,-index.htm,200.0,2670.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-02-01,00:00:00,0.0,1013454.0,0001539497-13-000903,-index.htm,200.0,2788.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-02-01,00:00:00,0.0,1013454.0,0001539497-13-000906,-index.htm,200.0,3406.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-02-01,00:00:00,0.0,1407200.0,0001407200-16-000127,-index.htm,200.0,2792.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-02-01,00:00:00,0.0,1013454.0,0001539497-13-000918,-index.htm,200.0,3338.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-02-01,00:00:00,0.0,1407200.0,0001193125-16-541491,-index.htm,200.0,2883.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-02-01,00:00:00,0.0,1407200.0,0001407200-16-000118,-index.htm,200.0,2791.0,1.0,0.0,0.0,10.0,0.0,
115.111.104.igg,2017-02-01,00:00:00,0.0,216228.0,0000216228-16-000077,-index.htm,200.0,12405.0,1.0,0.0,0.0,10.0,0.0,
117.89.48.gfa,2017-02-01,00:00:00,0.0,1637655.0,0001193125-17-023790,-index.htm,301.0,685.0,1.0,0.0,0.0,10.0,0.0,
117.89.48.gfa,2017-02-01,00:00:00,0.0,918581.0,0000918581-17-000014,-index.htm,301.0,677.0,1.0,0.0,0.0,10.0,0.0,
117.89.48.gfa,2017-02-01,00:00:00,0.0,870385.0,0000215457-17-002202,-index.htm,301.0,681.0,1.0,0.0,0.0,10.0,0.0,
117.89.48.gfa,2017-02-01,00:00:00,0.0,102037.0,0001140361-17-003630,-index.htm,301.0,680.0,1.0,0.0,0.0,10.0,0.0,
128.138.64.edf,2017-02-01,00:00:00,0.0,1017358.0,0001017358-98-000003,.txt,200.0,2309493.0,0.0,0.0,0.0,10.0,0.0,
128.138.64.edf,2017-02-01,00:00:00,0.0,1017358.0,0001017358-98-000008,.txt,200.0,282763.0,0.0,0.0,0.0,10.0,0.0,
128.138.64.edf,2017-02-01,00:00:00,0.0,37664.0,0000037664-98-000004,.txt,200.0,142612.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,879181.0,0000950123-10-039171,.txt,200.0,301330.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,936340.0,0000950123-10-088170,c06201e8vk.htm,301.0,657.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,936340.0,0000950123-10-085884,c05883e8vk.htm,200.0,15545.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,895126.0,0001483096-10-000011,chk10042010_8k.htm,200.0,29087.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,936340.0,0000950123-10-088170,.txt,301.0,643.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,895126.0,0001483096-10-000011,chk10042010_8k.htm,301.0,664.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,879181.0,0000950123-10-035221,.txt,301.0,642.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,936395.0,0000950123-10-009300,w77221e8vk.htm,200.0,10475.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,895126.0,0001483096-10-000011,.txt,301.0,642.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,879181.0,0000950123-10-039171,g23109e8vk.htm,200.0,20189.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,936340.0,0000950123-10-088882,.txt,200.0,120803.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,936395.0,0000950123-10-020848,.txt,200.0,513332.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,895126.0,0000895126-10-000186,chk10062010_8k.htm,200.0,35793.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,895126.0,0000895126-10-000188,chk10122010_8k.htm,200.0,27105.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,879181.0,0000950123-10-039171,g23109e8vk.htm,301.0,656.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,936395.0,0000950123-10-020848,c97186e8vk.htm,301.0,658.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,936340.0,0000950123-10-088882,.txt,301.0,642.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,936395.0,0000950123-10-064375,.txt,200.0,23536.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,936340.0,0000950123-10-088882,c06280e8vk.htm,200.0,9488.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,936395.0,0000950123-10-009300,w77221e8vk.htm,301.0,657.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,879169.0,0001104659-10-030704,a10-10847_18k.htm,200.0,23103.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,895126.0,0000895126-10-000188,.txt,200.0,465664.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,936340.0,0000950123-10-026868,k48994e8vk.htm,200.0,12514.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,895126.0,0001483096-10-000011,.txt,200.0,87391.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,895126.0,0000895126-10-000186,.txt,301.0,638.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,936340.0,0000950123-10-088170,.txt,200.0,25217.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,879169.0,0001104659-10-030704,a10-10847_18k.htm,301.0,664.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,895126.0,0000895126-10-000186,.txt,200.0,98809.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,879169.0,0001104659-10-030704,.txt,200.0,25021.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,895126.0,0000895126-10-000186,chk10062010_8k.htm,301.0,660.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,936340.0,0000950123-10-085884,c05883e8vk.htm,301.0,657.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,936395.0,0000950123-10-009300,.txt,200.0,12015.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,895126.0,0000895126-10-000188,.txt,301.0,638.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,879181.0,0000950123-10-035221,g22933e8vk.htm,200.0,9246.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,936340.0,0000950123-10-022848,c97572e8vk.htm,301.0,658.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,936340.0,0000950123-10-088170,c06201e8vk.htm,200.0,13178.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,936395.0,0000950123-10-020848,.txt,301.0,643.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,936395.0,0000950123-10-009300,.txt,301.0,642.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,879181.0,0000950123-10-035221,g22933e8vk.htm,301.0,657.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,895126.0,0000895126-10-000188,chk10122010_8k.htm,301.0,660.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,936340.0,0000950123-10-026868,.txt,200.0,450302.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,936340.0,0000950123-10-088882,c06280e8vk.htm,301.0,656.0,0.0,0.0,0.0,10.0,0.0,
